internalid,linesequencenumber,trandate,tranid,account,debitamount,creditamount,currency,fxamount,subsidiarynohierarchy,cseg_apac_ic,memo
1019,1,2026-06-08,JE-2026-01019,18004 Due From ANTH-JP,,5000.00,USD,5000.00,ANTH-SG,ANTH-JP,Reversal of original entry Jun 2026
1011,2,2026-06-20,JE-2026-01011,28001 Due To ANTH-SG,,8000.00,USD,8000.00,ANTH-IN,ANTH-SG,Consulting 8hrs Jun 2026
1027,1,2026-06-28,JE-2026-01027,61200 Consulting Fees,75000.00,,JPY,75000.00,ANTH-JP,ANTH-SG,Consulting svcs recd - quarterly advisory
1005,2,2026-06-15,JE-2026-01005,28001 Due To ANTH-SG,,10000.00,USD,10000.00,ANTH-JP,ANTH-SG,Management fee received
1008,1,2026-06-18,JE-2026-01009,18005 Due From ANTH-HK,5000.00,,USD,5000.00,ANTH-SG,ANTH-HK,Shared services Jun 2026
1010,1,2026-06-20,JE-2026-01011,18003 Due From ANTH-IN,10000.00,,USD,10000.00,ANTH-SG,ANTH-IN,Consulting 10hrs Jun 2026
1027,2,2026-06-28,JE-2026-01027,28001 Due To ANTH-SG,,75000.00,JPY,75000.00,ANTH-JP,ANTH-SG,Consulting svcs recd - quarterly advisory
1029,1,2026-06-15,JE-2026-01029,18001 Due From ANTH-SG,50000.00,,USD,50000.00,ANTH-US,ANTH-SG,US to SG recharge Jun 2026
1016,2,2026-06-12,JE-2026-01017,28001 Due To ANTH-SG,,10000.00,USD,10000.00,ANTH-AU,ANTH-SG,Recharge May 2026
1009,2,2026-06-18,JE-2026-01009,28001 Due To ANTH-SG,,4956.79,USD,4956.79,ANTH-HK,ANTH-SG,Shared services received Jun 2026
1004,2,2026-06-15,JE-2026-01005,61100 Management Fees,,10000.00,USD,10000.00,ANTH-SG,ANTH-JP,Management fee Jun 2026
1018,1,2026-06-08,JE-2026-01019,18004 Due From ANTH-JP,5000.00,,USD,5000.00,ANTH-SG,ANTH-JP,Original entry Jun 2026
1015,2,2026-06-12,JE-2026-01017,28001 Due To ANTH-SG,,10000.00,USD,10000.00,ANTH-AU,ANTH-SG,Recharge Apr 2026
1022,2,2026-06-14,JE-2026-01022,61200 Consulting Fees,,6000.00,AUD,6000.00,ANTH-AU,ANTH-SG,Corrected re-entry Jun 2026
1015,1,2026-06-12,JE-2026-01017,61100 Management Fees,10000.00,,USD,10000.00,ANTH-AU,ANTH-SG,Recharge Apr 2026
1024,2,2026-06-25,JE-2026-01024,61200 Consulting Fees,,3500.00,SGD,3500.00,ANTH-SG,,Recharge to ANTH-IN for office supplies Jun 2026
1001,4,2026-06-05,AICJE-2026-01001,28001 Due To ANTH-SG,,15000.00,SGD,15000.00,ANTH-AU,ANTH-SG,Consulting fee Jun 2026
1010,2,2026-06-20,JE-2026-01011,61200 Consulting Fees,,10000.00,USD,10000.00,ANTH-SG,ANTH-IN,Consulting 10hrs Jun 2026
1025,1,2026-06-16,JE-2026-01026,18002 Due From ANTH-AU,20000.00,,SGD,20000.00,ANTH-SG,ANTH-AU,License fee SGD Jun 2026
1002,1,2026-06-10,JE-2026-01003,18004 Due From ANTH-JP,8500.00,,USD,8500.00,ANTH-SG,ANTH-JP,IT recharge Jun 2026
1014,2,2026-06-12,JE-2026-01017,61100 Management Fees,,30000.00,USD,30000.00,ANTH-SG,ANTH-AU,Quarterly recharge Q2 2026
1005,1,2026-06-15,JE-2026-01005,61100 Management Fees,10000.00,,USD,10000.00,ANTH-JP,ANTH-SG,Management fee received
1029,2,2026-06-15,JE-2026-01029,61100 Management Fees,,50000.00,USD,50000.00,ANTH-US,ANTH-SG,US to SG recharge Jun 2026
1011,1,2026-06-20,JE-2026-01011,61200 Consulting Fees,8000.00,,USD,8000.00,ANTH-IN,ANTH-SG,Consulting 8hrs Jun 2026
1020,2,2026-06-14,JE-2026-01022,61200 Consulting Fees,,10000.00,AUD,10000.00,ANTH-AU,ANTH-SG,Service fee original Jun 2026
1012,1,2026-06-29,JE-2026-01013,18003 Due From ANTH-IN,45000.00,,USD,45000.00,ANTH-HK,ANTH-IN,Hardware shipment Jun 2026
1001,1,2026-06-05,AICJE-2026-01001,18002 Due From ANTH-AU,15000.00,,SGD,15000.00,ANTH-SG,ANTH-AU,Consulting fee Jun 2026
1022,1,2026-06-14,JE-2026-01022,18001 Due From ANTH-SG,6000.00,,AUD,6000.00,ANTH-AU,ANTH-SG,Corrected re-entry Jun 2026
1012,2,2026-06-29,JE-2026-01013,40100 IC Revenue,,45000.00,USD,45000.00,ANTH-HK,ANTH-IN,Hardware shipment Jun 2026
1026,1,2026-06-16,JE-2026-01026,40100 IC Revenue,20000.00,,AUD,20000.00,ANTH-AU,ANTH-SG,License fee AUD Jun 2026
1009,1,2026-06-18,JE-2026-01009,71000 IT Shared Services,4956.79,,USD,4956.79,ANTH-HK,ANTH-SG,Shared services received Jun 2026
1014,1,2026-06-12,JE-2026-01017,18002 Due From ANTH-AU,30000.00,,USD,30000.00,ANTH-SG,ANTH-AU,Quarterly recharge Q2 2026
1019,2,2026-06-08,JE-2026-01019,61200 Consulting Fees,5000.00,,USD,5000.00,ANTH-SG,ANTH-JP,Reversal of original entry Jun 2026
1013,1,2026-07-04,JE-2026-01013,50200 IC Cost of Goods Sold,45000.00,,USD,45000.00,ANTH-IN,ANTH-HK,Hardware received Jul 2026
1024,1,2026-06-25,JE-2026-01024,99999 Miscellaneous Expense,3500.00,,SGD,3500.00,ANTH-SG,,Recharge to ANTH-IN for office supplies Jun 2026
1006,1,2026-06-15,JE-2026-01007,18004 Due From ANTH-JP,10000.00,,USD,10000.00,ANTH-SG,ANTH-JP,IT recharge Jun 2026
1017,2,2026-06-12,JE-2026-01017,28001 Due To ANTH-SG,,10000.00,USD,10000.00,ANTH-AU,ANTH-SG,Recharge Jun 2026
1021,1,2026-06-14,JE-2026-01022,18001 Due From ANTH-SG,,6000.00,AUD,6000.00,ANTH-AU,ANTH-SG,Partial reversal Jun 2026
1016,1,2026-06-12,JE-2026-01017,61100 Management Fees,10000.00,,USD,10000.00,ANTH-AU,ANTH-SG,Recharge May 2026
1026,2,2026-06-16,JE-2026-01026,28001 Due To ANTH-SG,,20000.00,AUD,20000.00,ANTH-AU,ANTH-SG,License fee AUD Jun 2026
1006,2,2026-06-15,JE-2026-01007,61100 Management Fees,,10000.00,USD,10000.00,ANTH-SG,ANTH-JP,IT recharge Jun 2026
1023,1,2026-06-22,JE-2026-01023,18005 Due From ANTH-HK,12000.00,,SGD,12000.00,ANTH-SG,,Management fee no tag Jun 2026
1028,2,2026-06-30,JE-2026-01028,40100 IC Revenue,,9000.00,SGD,,ANTH-SG,ANTH-AU,Elimination entry Jun 2026
1001,3,2026-06-05,AICJE-2026-01001,61200 Consulting Fees,15000.00,,SGD,15000.00,ANTH-AU,ANTH-SG,Consulting fee Jun 2026
1013,2,2026-07-04,JE-2026-01013,28005 Due To ANTH-HK,,45000.00,USD,45000.00,ANTH-IN,ANTH-HK,Hardware received Jul 2026
1018,2,2026-06-08,JE-2026-01019,61200 Consulting Fees,,5000.00,USD,5000.00,ANTH-SG,ANTH-JP,Original entry Jun 2026
